transaction_id,customer_id,product_id,amount,event_time,region
1001,501,P100,1250.00,2026-01-05 09:15:00,East
1002,502,P200,2400.00,2026-01-06 10:30:00,West
1003,503,P100,875.50,2026-01-07 11:00:00,South
1004,504,P300,3200.00,2026-01-08 12:45:00,North
1005,505,P200,1599.99,2026-01-09 14:20:00,East
1006,501,P100,450.00,2026-01-10 15:10:00,East
1007,506,P400,7800.00,2026-01-11 16:30:00,West
1008,507,P300,925.75,2026-01-12 09:40:00,South
1009,508,P200,3100.00,2026-01-13 10:15:00,North
1010,509,P400,670.25,2026-01-14 13:50:00,West
1011,502,P200,5200.00,2026-01-20 09:10:00,West
1012,503,P100,1850.00,2026-01-21 11:25:00,South
1013,504,P300,4250.00,2026-01-22 12:35:00,North
1014,505,P200,950.00,2026-01-23 14:45:00,East
1015,506,P400,2750.00,2026-01-24 16:05:00,West
